Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
Non-default value of debug variable: PrintDebugSettings = 1
Non-default value of debug variable: EnableDirectSubmission = 1
Non-default value of debug variable: BindAllAllocations = 1
Non-default value of debug variable: EnableForcePin = 0
Non-default value of debug variable: UseVmBind = 1
OpenCL Platform: Intel(R) OpenCL HD Graphics
	Device: Intel(R) Gen12LP HD Graphics NEO
		driverVersion: 20.35.0
		computeUnits:  96
		clockFreq:     1650

LevelZero driver version: 0x1000000
	Device: Intel(R) Gen12LP
		vendorId:     0x8086
		deviceId:     0x4905
		clockFreq:    1650
		config:       1x6x16
		euCount:      96
		threadsPerEu: 7

Running 10 iterations of each benchmark

                                                    TestCase      Mean [us]    Median [us]         StdDev       Min [us]       Max [us]
                NewResourcesSubmissionHost(api=ocl size=1MB)         59.892         48.083         40.62%         47.677        123.942
               NewResourcesSubmissionHost(api=ocl size=16MB)        405.507        404.979          6.56%        349.328        450.975
               NewResourcesSubmissionHost(api=ocl size=64MB)      15365.695      15359.772         44.39%       8519.747      22220.476
              NewResourcesSubmissionHost(api=ocl size=256MB)      36791.047      33671.596         17.46%      32572.669      49667.568
                NewResourcesSubmissionHost(api=ocl size=1GB)     136081.134     135238.323          3.40%     130341.687     149172.236
                   NewResourcesSubmissionHost(api=l0 size=1)         89.675         73.631         46.76%         50.948        180.168
                NewResourcesSubmissionHost(api=l0 size=64KB)         84.326         72.425         43.49%         50.608        164.370
               NewResourcesSubmissionHost(api=l0 size=512KB)         70.400         59.189         42.97%         58.152        160.705
                 NewResourcesSubmissionHost(api=l0 size=1MB)         83.670         69.290         40.34%         68.815        180.372
                NewResourcesSubmissionHost(api=l0 size=16MB)        459.956        467.305          7.84%        394.729        500.758
                NewResourcesSubmissionHost(api=l0 size=64MB)      14815.723      12814.195         42.19%       8651.716      22000.522
               NewResourcesSubmissionHost(api=l0 size=256MB)      37026.909      34310.806         14.90%      34158.391      48476.104
                 NewResourcesSubmissionHost(api=l0 size=1GB)     145078.795     148907.893          4.95%     134093.144     151443.496
                 NewResourcesWithGpuAccess(api=ocl size=1KB)        114.864        100.243         27.80%         78.032        184.911
                NewResourcesWithGpuAccess(api=ocl size=64KB)        121.386        103.356         42.98%         71.222        238.953
               NewResourcesWithGpuAccess(api=ocl size=512KB)        238.613        234.157         14.00%        199.941        294.246
                 NewResourcesWithGpuAccess(api=ocl size=1MB)        307.070        318.757         13.09%        203.803        356.684
                NewResourcesWithGpuAccess(api=ocl size=16MB)       3888.154       2464.472        118.53%       2018.497      17698.988
                NewResourcesWithGpuAccess(api=ocl size=64MB)      10233.818       6693.678         52.50%       6648.088      18642.434
               NewResourcesWithGpuAccess(api=ocl size=256MB)      32771.596      31978.126          7.29%      31942.305      39942.647
                 NewResourcesWithGpuAccess(api=ocl size=1GB)     129670.448     133577.930         12.13%      99718.072     147671.558
                                RoundTripSubmission(api=ocl)         11.421          6.608         77.94%          6.453         33.886
                                 RoundTripSubmission(api=l0)          7.432          7.270          5.40%          7.122          8.498
                            WalkerCompletionLatency(api=ocl)          0.319          0.317          9.10%          0.280          0.382
                             WalkerCompletionLatency(api=l0)          0.275          0.157         77.48%          0.103          0.623
                             WalkerSubmissionEvents(api=ocl)         16.563         10.677         57.43%         10.313         37.031
                                        WriteLatency(api=l0)          3.854          2.502        110.97%          2.119         16.676
